frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0.0,0.98,1,0.300572,0.142577,-0.943042,-0.040567,0.142406,-0.988977,0.134,0.146,-68.3,53.7,268.2,-0.172,-0.111,-0.006,0.0,0.0,0.0,0.0,0.3,0.0,0.22,0.65,0.21,1.53,0.0,0.34,0.0,0.0,0.41,0.24,1.81,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
2,0,0.038,0.98,1,0.370701,0.136754,-0.918629,0.037944,0.185992,-0.981818,0.212,0.168,-70.2,56.4,266.8,-0.143,-0.112,-0.009,0.0,0.0,0.04,0.0,0.19,0.0,0.12,0.74,0.12,1.63,0.0,0.33,0.0,0.0,0.39,0.18,1.8,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
3,0,0.077,0.98,1,0.34328,0.194711,-0.918829,-0.012507,0.232011,-0.972633,0.173,0.222,-74.6,61.4,263.3,-0.084,-0.091,-0.022,0.0,0.0,0.04,0.0,0.16,0.0,0.11,0.98,0.04,1.8,0.0,0.4,0.0,0.02,0.32,0.23,1.83,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
4,0,0.115,0.98,1,0.33058,0.196461,-0.923104,-0.069936,0.191051,-0.979086,0.136,0.201,-79.6,64.3,266.4,-0.086,-0.062,-0.015,0.0,0.0,0.0,0.0,0.16,0.0,0.16,1.22,0.0,1.81,0.0,0.42,0.0,0.03,0.26,0.45,1.73,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
5,0,0.154,0.98,1,0.329135,0.201563,-0.92252,-0.06355,0.194676,-0.978807,0.139,0.205,-81.0,65.1,268.1,-0.074,-0.055,0.004,0.0,0.0,0.0,0.0,0.22,0.0,0.16,1.31,0.0,1.79,0.0,0.56,0.05,0.19,0.24,0.55,1.52,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
6,0,0.192,0.93,1,0.33599,0.210423,-0.918059,-0.10457,0.206142,-0.972919,0.122,0.217,-86.4,69.0,270.3,-0.041,-0.053,-0.002,0.0,0.0,0.0,0.0,0.24,0.0,0.1,1.23,0.0,1.62,0.0,0.6,0.05,0.34,0.28,0.67,1.37,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
7,0,0.231,0.93,1,0.322502,0.204521,-0.92421,-0.106644,0.191367,-0.975708,0.113,0.205,-87.1,69.4,271.0,-0.044,-0.049,0.002,0.0,0.0,0.0,0.0,0.18,0.0,0.03,1.13,0.0,1.47,0.02,0.8,0.23,0.72,0.33,0.71,1.33,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
8,0,0.269,0.93,1,0.338206,0.209425,-0.917474,-0.045009,0.1921,-0.980343,0.153,0.208,-91.0,73.3,274.4,-0.045,-0.086,0.004,0.0,0.0,0.0,0.0,0.09,0.0,0.0,1.01,0.0,1.2,0.02,0.85,0.46,1.02,0.31,0.86,1.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
9,0,0.308,0.88,1,0.347151,0.185572,-0.919266,-0.000192,0.176161,-0.984361,0.18,0.188,-93.4,75.7,277.8,-0.064,-0.121,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,1.12,0.02,1.09,0.46,1.31,0.32,0.84,1.09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
10,0,0.346,0.88,1,0.352832,0.214441,-0.910782,-0.013092,0.182512,-0.983116,0.177,0.207,-91.8,76.4,274.8,-0.048,-0.134,-0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,1.29,0.0,1.17,0.27,1.22,0.4,0.93,1.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,4,0,0,688.3734,68.0,14.2,0.008087933,-0.01780775265368,0.0,259.5794678,0.005368774,-0.099998713,1.924998713,0.0,,,,
