frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0,0.98,1,0.203632,0.137332,-0.969368,-0.042751,0.0881,-0.995194,0.082,0.114,-20.7,52.6,288.1,-0.004,-0.034,-0.014,0.53,1.8,0,0.83,0.25,0.42,0.27,0.97,0,1.79,0,0.37,0,0,0.21,0,0.38,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
2,0,0.037,0.98,1,0.195121,0.115313,-0.973977,-0.054766,0.09151,-0.994297,0.071,0.105,-18.5,51.3,288.9,-0.021,-0.039,0,0.57,1.78,0,1.27,0.21,0.52,0.29,1,0,1.91,0,0.5,0,0,0.09,0.02,0.48,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
3,0,0.074,0.98,1,0.176985,0.103766,-0.978728,-0.068795,0.062737,-0.995656,0.055,0.084,-16.9,51,289.1,-0.041,-0.04,0.01,0.61,1.76,0,1.51,0.18,0.44,0.3,1.02,0,1.99,0,0.57,0,0,0.04,0.02,0.53,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
4,0,0.111,0.98,1,0.183993,0.091957,-0.978617,-0.07311,0.052871,-0.995921,0.056,0.073,-16.9,51,288.9,-0.056,-0.044,0.012,0.61,1.79,0,1.43,0.2,0.19,0.33,1.01,0.01,1.98,0,0.49,0,0,0.05,0.02,0.46,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
5,0,0.148,0.98,1,0.173266,0.094343,-0.980346,-0.071772,0.071255,-0.994873,0.051,0.084,-15.3,50.7,288.7,-0.059,-0.045,0.022,0.63,1.79,0,1.37,0.27,0.06,0.34,1.01,0.01,1.89,0,0.48,0,0,0.07,0,0.43,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
6,0,0.185,0.98,1,0.187201,0.094681,-0.977748,-0.044007,0.106688,-0.993318,0.073,0.102,-11.7,50.9,290,-0.048,-0.051,0.046,0.6,1.81,0,1.24,0.3,0,0.35,1.01,0.02,1.83,0,0.41,0,0,0.05,0,0.46,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
7,0,0.222,0.98,1,0.191763,0.093807,-0.976948,-0.078802,0.073275,-0.994194,0.057,0.085,-11.6,50.9,289.7,-0.045,-0.054,0.052,0.67,1.79,0,1.25,0.35,0,0.39,0.95,0.01,1.84,0,0.42,0,0,0.03,0,0.48,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
8,0,0.259,0.98,1,0.188547,0.136769,-0.972494,-0.08366,0.145685,-0.985787,0.054,0.143,-9.5,50.9,289.8,-0.034,-0.057,0.067,0.77,1.88,0,1.21,0.43,0,0.49,0.96,0.01,1.74,0,0.33,0,0,0.08,0,0.4,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
9,0,0.296,0.98,1,0.157635,0.198317,-0.967379,-0.116196,0.185768,-0.975699,0.021,0.195,-4.9,51.1,288.2,-0.023,-0.064,0.099,0.9,1.99,0,1.23,0.59,0.1,0.61,0.95,0,1.6,0,0.26,0,0,0.09,0,0.29,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
10,0,0.333,0.98,1,0.160479,0.226296,-0.960748,-0.141406,0.17638,-0.974112,0.01,0.205,-2.3,51.4,288.4,-0.013,-0.071,0.121,0.99,2.08,0,1.28,0.73,0.13,0.74,1.1,0,1.48,0,0.24,0,0,0.13,0,0.21,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,150.1592,83,17.9,0.009946378,-0.017807749,0,263.8275146,-0.023200775,-0.100000143,1.925000143,8.06E-06,645.568909,668.816711,0.004876,0.004978
