frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0,0.98,1,0.184392,0.068992,-0.980428,0.030057,0.115616,-0.992839,0.108,0.093,-55.7,38.4,305.7,0.041,-0.118,0.016,0,0,1.23,0,0.2,0.68,0.08,0,0,1.21,0,0.04,0,0,0,0.21,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
2,0,0.038,0.98,1,0.176523,0.04832,-0.98311,0.048205,0.130656,-0.990255,0.113,0.09,-55.8,38.6,306.3,0.045,-0.118,0.02,0,0,1.34,0,0.24,0.44,0.23,0,0,1.25,0,0.07,0,0,0,0.24,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
3,0,0.077,0.98,1,0.161677,0.053762,-0.985378,0.017207,0.138097,-0.990269,0.09,0.097,-56.1,39.5,306.3,0.042,-0.122,0.024,0,0,1.44,0,0.18,0.33,0.3,0,0,1.21,0,0.06,0,0,0.05,0.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
4,0,0.115,0.98,1,0.120249,0.134295,-0.983618,0.086765,0.139339,-0.986436,0.105,0.138,-57.7,42,311.9,0.051,-0.119,0.025,0,0,1.48,0,0.08,0.46,0.28,0,0,1.12,0,0.06,0,0,0.2,0.08,0.24,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
5,0,0.154,0.93,1,0.176253,0.137413,-0.974706,0.110544,0.156293,-0.981505,0.146,0.149,-60.1,45.4,314.2,0.086,-0.116,0.024,0,0,1.56,0,0,0.68,0.29,0,0,1.09,0,0,0,0,0.37,0.05,0.43,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
6,0,0.192,0.93,1,0.170424,0.123909,-0.977549,0.121392,0.144314,-0.982058,0.148,0.136,-60.4,45.8,315.1,0.076,-0.118,0.018,0,0,1.61,0,0,0.79,0.21,0,0,1.08,0,0,0.04,0.03,0.52,0.02,0.64,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
7,0,0.231,0.93,1,0.171057,0.118046,-0.978164,0.116607,0.142817,-0.982856,0.146,0.132,-61.2,46.8,314.2,0.075,-0.119,0.017,0,0,1.58,0,0,0.59,0.17,0,0,1.11,0,0,0.11,0.08,0.49,0,0.74,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
8,0,0.269,0.93,1,0.186295,0.123662,-0.97468,0.124163,0.155427,-0.980013,0.158,0.142,-64.3,49.6,313.6,0.085,-0.122,0.016,0,0,1.49,0,0,0.39,0.12,0,0,1.1,0,0.02,0.15,0.15,0.42,0,0.77,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
9,0,0.308,0.93,1,0.196578,0.114608,-0.973767,0.12703,0.136094,-0.982518,0.164,0.127,-65.4,50.3,314.1,0.073,-0.124,0.011,0,0,1.4,0,0,0.27,0.15,0,0,1.16,0,0.06,0.14,0.18,0.32,0,0.84,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
10,0,0.346,0.93,1,0.209365,0.125315,-0.969774,0.105614,0.145302,-0.983734,0.16,0.138,-66.7,51,315.6,0.075,-0.122,0.01,0,0,1.4,0,0,0.32,0.17,0,0,1.19,0,0.08,0.07,0.2,0.31,0,0.85,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,235.9492,73,10.6,0.006936984,-0.017807733,0,260.8978271,-0.049277679,-0.100002527,1.925002527,8.06E-06,718.7276,680.223511,0.004778,0.004976
