frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0,0.98,1,0.170845,0.198047,-0.965189,-0.019921,0.205648,-0.978423,0.077,0.205,-35.5,-18,272.6,-0.024,-0.03,0.039,0.53,0.22,0,0.6,0.64,1.57,0,0.4,0.03,0.1,0.05,0.4,0,0.18,0,0,0.03,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
2,0,0.037,0.98,1,0.183047,0.206128,-0.961252,-0.008097,0.207369,-0.978229,0.09,0.21,-35.4,-18.1,271.7,-0.018,-0.041,0.042,0.53,0.17,0,0.43,0.66,1.53,0,0.43,0.04,0.12,0.03,0.51,0,0.2,0,0,0.01,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
3,0,0.074,0.98,1,0.177027,0.209133,-0.96173,-0.008084,0.216818,-0.976179,0.087,0.216,-35.4,-18.1,271.7,-0.013,-0.041,0.043,0.56,0.23,0,0.43,0.65,1.45,0,0.48,0.04,0.13,0.08,0.58,0,0.19,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
4,0,0.111,0.98,1,0.184864,0.210481,-0.95996,-0.007427,0.22314,-0.974758,0.091,0.22,-35.5,-18.2,271.5,-0.009,-0.04,0.043,0.55,0.27,0,0.42,0.64,1.34,0,0.49,0.05,0.09,0.12,0.63,0,0.19,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
5,0,0.148,0.98,1,0.184313,0.214955,-0.959074,-0.006364,0.227423,-0.973775,0.092,0.225,-35.4,-18.2,271.1,-0.007,-0.043,0.042,0.55,0.33,0,0.48,0.63,1.31,0,0.54,0.05,0.05,0.11,0.65,0,0.17,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
6,0,0.185,0.98,1,0.182818,0.213389,-0.95971,-0.006026,0.230581,-0.973034,0.091,0.226,-35.5,-18.3,271.2,-0.007,-0.043,0.042,0.5,0.29,0,0.49,0.64,1.33,0,0.51,0.05,0.07,0.07,0.63,0,0.16,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
7,0,0.222,0.98,1,0.177497,0.208961,-0.961681,-0.005409,0.212358,-0.977177,0.089,0.214,-35.6,-18.4,271.4,-0.01,-0.041,0.042,0.49,0.31,0,0.5,0.66,1.39,0,0.52,0.05,0.09,0.04,0.6,0,0.17,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
8,0,0.259,0.98,1,0.18293,0.209093,-0.960634,0.003576,0.218037,-0.975934,0.096,0.217,-35.8,-18.4,271.4,-0.009,-0.044,0.043,0.47,0.39,0,0.48,0.69,1.41,0,0.54,0.06,0.11,0.03,0.56,0,0.2,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
9,0,0.296,0.98,1,0.183619,0.212959,-0.959652,0.005849,0.222209,-0.974981,0.098,0.221,-35.9,-18.4,271.7,-0.009,-0.046,0.044,0.49,0.39,0,0.39,0.73,1.46,0,0.55,0.08,0.08,0.05,0.56,0,0.23,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
10,0,0.333,0.98,1,0.185542,0.220702,-0.957531,-0.005133,0.227688,-0.97372,0.093,0.228,-35.8,-18.4,271.3,-0.009,-0.043,0.044,0.46,0.31,0,0.35,0.73,1.49,0,0.54,0.09,0.1,0.05,0.54,0,0.22,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,54.827,100,21.7,0.006140246,0.739476549,0,15.24353027,0.079764648,-0.095072508,1.920072508,0.170699768,696.797729,663.501282,0.005157,0.005138
