frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0,0.98,1,0.14013,0.269552,-0.952736,-0.081648,0.288429,-0.954014,0.031,0.285,-28.3,31.9,272.7,0.1,0.03,0.029,0,0,0,0,0.38,0,0.09,0.56,0,1.93,0,0.62,0,0.2,0,0,0.14,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
2,0,0.036,0.98,1,0.15238,0.286518,-0.945879,-0.075407,0.307883,-0.948431,0.041,0.304,-28.6,31.8,272.1,0.126,0.029,0.033,0,0,0,0,0.51,0,0.19,0.62,0,1.86,0,0.67,0,0.15,0,0,0.11,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
3,0,0.071,0.98,1,0.148177,0.299619,-0.942482,-0.072062,0.327013,-0.942268,0.04,0.321,-28.8,31.7,270.9,0.143,0.034,0.034,0.01,0,0,0,0.57,0,0.24,0.68,0,1.77,0,0.7,0,0.15,0.01,0,0.07,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
4,0,0.107,0.98,1,0.152629,0.312258,-0.937656,-0.072245,0.340552,-0.937446,0.043,0.335,-28.6,31.5,269.5,0.165,0.036,0.034,0.04,0,0,0,0.61,0,0.24,0.76,0,1.68,0,0.71,0,0.19,0.01,0,0.05,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
5,0,0.143,0.98,1,0.147969,0.344151,-0.927181,-0.07837,0.357644,-0.930564,0.037,0.361,-28.8,31.4,268.1,0.189,0.039,0.032,0.1,0,0,0,0.72,0,0.28,0.81,0,1.6,0,0.74,0,0.26,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
6,0,0.179,0.98,1,0.140919,0.36315,-0.921013,-0.076531,0.366734,-0.927173,0.035,0.376,-28.9,31.3,267.2,0.198,0.04,0.029,0.12,0,0,0,0.83,0.01,0.31,0.88,0,1.55,0,0.74,0,0.28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
7,0,0.214,0.98,1,0.14364,0.355613,-0.923529,-0.077347,0.373556,-0.924377,0.036,0.376,-29,31.1,266.6,0.207,0.043,0.028,0.1,0,0,0,0.9,0.01,0.32,0.95,0,1.47,0,0.71,0.01,0.28,0.01,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
8,0,0.25,0.98,1,0.139836,0.341904,-0.929272,-0.085731,0.375972,-0.922657,0.029,0.37,-29.1,31,266.2,0.21,0.042,0.028,0.04,0,0,0,0.92,0.1,0.35,0.96,0,1.47,0,0.74,0.04,0.28,0.05,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
9,0,0.286,0.98,1,0.14019,0.342838,-0.928875,-0.073557,0.385553,-0.919749,0.036,0.375,-29.2,30.9,266.3,0.213,0.044,0.028,0.01,0,0,0,0.93,0.21,0.35,0.98,0,1.47,0,0.79,0.07,0.27,0.05,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
10,0,0.321,0.98,1,0.146127,0.336158,-0.9304,-0.068859,0.38257,-0.921357,0.042,0.37,-29.3,30.8,266.4,0.211,0.045,0.028,0.06,0,0,0,0.94,0.29,0.35,0.93,0,1.48,0,0.84,0.1,0.29,0.04,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
11,0,0.357,0.98,1,0.147886,0.336043,-0.930164,-0.067233,0.384182,-0.920806,0.044,0.371,-29.3,30.8,266.3,0.21,0.045,0.028,0.09,0,0,0,0.98,0.29,0.28,0.96,0,1.48,0,0.82,0.13,0.29,0.02,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,0,0,125.8685,0,11.6,0.005713917,-0.020299059,0,265.7318115,-0.005560516,-0.099995375,1.924995375,0,623.333618,678.602783,0,0
