frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
1,0,0,0.93,1,0.120481,0.143007,-0.982361,-0.040827,0.111877,-0.992883,0.04,0.128,-35.7,26.5,286.2,-0.007,0.048,0.015,0.13,0,0,0,0.12,0.25,0.3,0.77,0,0.83,0,0,0,0,0.3,0.06,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
2,0,0.037,0.93,1,0.195078,0.155113,-0.968444,-0.063465,0.130497,-0.989415,0.067,0.145,-36.7,27,286,0.031,0.062,0.035,0.09,0,0,0,0.25,0.08,0.18,0.72,0,0.56,0,0,0,0,0.46,0.28,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
3,0,0.074,0.93,1,0.192718,0.160403,-0.968055,-0.049732,0.149352,-0.987533,0.073,0.157,-36.9,26.8,286.7,0.04,0.056,0.041,0.05,0,0,0,0.3,0,0.13,0.75,0,0.36,0,0,0,0,0.53,0.39,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
4,0,0.111,0.93,1,0.17232,0.16813,-0.970586,-0.060164,0.150919,-0.986714,0.057,0.162,-37,26.5,287.6,0.042,0.055,0.045,0.07,0,0,0,0.27,0,0.14,0.77,0,0.21,0,0,0,0,0.57,0.46,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
5,0,0.148,0.93,1,0.198426,0.168939,-0.965447,-0.058003,0.171508,-0.983474,0.072,0.173,-37.2,26.4,288.3,0.044,0.052,0.047,0.03,0,0,0,0.43,0.06,0.25,0.8,0,0.19,0,0,0,0,0.49,0.47,0.15,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
6,0,0.185,0.93,1,0.16497,0.261324,-0.951049,-0.153338,0.283968,-0.946494,0.006,0.28,-37.1,27.1,288.3,0.059,0.047,0.054,0.02,0,0,0,0.49,0.06,0.23,0.7,0,0.17,0,0,0,0,0.5,0.5,0.18,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
7,0,0.222,0.93,1,0.229066,0.402843,-0.886141,-0.111177,0.369855,-0.922414,0.065,0.404,-37.5,27.3,289.6,0.053,0.046,0.054,0,0,0,0,0.6,0.06,0.2,0.64,0,0.16,0,0,0,0,0.43,0.43,0.29,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
8,0,0.259,0.93,1,0.247535,0.43278,-0.86685,-0.106838,0.392908,-0.91335,0.079,0.434,-37.6,27.4,289.4,0.063,0.05,0.053,0,0,0,0,0.48,0,0.05,0.57,0,0.08,0,0,0,0,0.57,0.35,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
9,0,0.296,0.98,1,0.258849,0.420721,-0.869477,-0.108104,0.385817,-0.91622,0.084,0.424,-37.6,27.4,290,0.056,0.05,0.051,0,0,0,0,0.52,0.02,0.09,0.65,0,0.06,0,0,0,0,0.64,0.35,0.45,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
10,0,0.333,0.93,1,0.111095,0.219078,-0.969362,-0.10909,0.289447,-0.950957,0.001,0.259,-37.7,27,289.7,0.064,0.051,0.048,0.01,0,0,0,0.53,0.03,0.11,0.7,0,0.03,0,0,0,0,0.75,0.38,0.58,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,4,0,0,126.2116,57,17.9,0.005931082,0.116108451,0,57.72399902,-0.025501678,-0.100008249,1.925008249,6.04E-05,745.696777,733.120911,0.004605,0.004836
