frame,face_id,timestamp,confidence,success,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,AU01_c,AU02_c,AU04_c,AU05_c,AU06_c,AU07_c,AU09_c,AU10_c,AU12_c,AU14_c,AU15_c,AU17_c,AU20_c,AU23_c,AU25_c,AU26_c,AU28_c,AU45_c,Distraction,Time,Drive,Stimulus,Failure,Palm.EDA,Heart.Rate,Breathing.Rate,Perinasal.Perspiration,Speed,Acceleration,Brake,Steering,LaneOffset,Lane.Position,Distance,Gaze.X.Pos,Gaze.Y.Pos,Lft.Pupil.Diameter,Rt.Pupil.Diameter
12,0,0.407,0.98,1,0.293804,0.162796,-0.941901,-0.213225,0.098586,-0.972016,0.042,0.136,-12.4,37.8,275.1,-0.207,-0.006,0.048,0,0,2.6,0,1.44,0.51,2.27,1.71,0,0.24,0,0,0.02,0,3.14,0,1.76,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
13,0,0.444,0.98,1,0.30621,0.159798,-0.938456,-0.268726,0.108805,-0.957052,0.02,0.141,-13,37.4,274.2,-0.208,-0.005,0.051,0,0,2.72,0,1.47,0.57,2.26,1.68,0,0.35,0,0,0.04,0,3.16,0,1.71,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
14,0,0.481,0.98,1,0.276529,0.13193,-0.951907,-0.303254,0.110763,-0.94645,-0.014,0.127,-13.4,37.1,274.6,-0.21,-0.009,0.051,0,0,2.83,0,1.53,0.73,2.27,1.69,0,0.45,0,0,0.04,0,3.14,0,1.81,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
15,0,0.519,0.98,1,0.260419,0.129105,-0.956825,-0.303819,0.108498,-0.946532,-0.023,0.124,-13.6,37.2,275.6,-0.212,-0.012,0.056,0,0,2.89,0,1.53,0.79,2.24,1.71,0,0.53,0,0,0.02,0,3.15,0,1.77,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
16,0,0.556,0.98,1,0.288115,0.131201,-0.948565,-0.293136,0.103975,-0.9504,-0.003,0.123,-14.7,37.2,276.1,-0.203,-0.012,0.051,0,0,2.89,0,1.52,0.95,2.23,1.79,0,0.56,0,0,0,0,3.19,0,1.81,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
17,0,0.593,0.98,1,0.266172,0.128737,-0.95529,-0.288506,0.104024,-0.951811,-0.012,0.121,-15.4,36.6,276.1,-0.208,-0.011,0.042,0,0,2.96,0,1.56,0.98,2.25,1.85,0,0.58,0,0,0,0,3.24,0,1.73,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
18,0,0.63,0.98,1,0.257754,0.123908,-0.958233,-0.27612,0.10969,-0.954843,-0.01,0.122,-16.1,36.2,276.3,-0.203,-0.008,0.033,0,0,2.84,0,1.58,0.95,2.33,1.84,0,0.47,0,0,0,0,3.17,0,1.72,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
19,0,0.667,0.98,1,0.294563,0.131005,-0.94661,-0.262403,0.122175,-0.957193,0.017,0.132,-18.3,35.4,276.6,-0.214,-0.005,0.016,0,0,2.81,0,1.65,0.88,2.34,1.81,0,0.4,0,0,0,0,3.23,0,1.53,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
20,0,0.704,0.98,1,0.32006,0.142942,-0.936552,-0.266522,0.124001,-0.955819,0.028,0.14,-19.6,35,276,-0.208,-0.002,0.007,0,0,2.7,0,1.65,0.95,2.32,1.72,0,0.34,0,0,0,0,3.17,0,1.37,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
21,0,0.741,0.98,1,0.315146,0.144898,-0.937917,-0.267845,0.129974,-0.954655,0.025,0.144,-21.1,34.5,275.5,-0.206,-0.001,-0.001,0,0,2.69,0,1.72,1.08,2.3,1.75,0,0.34,0,0,0,0,3.2,0,1.22,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,4,0,0,,66,22.1,0.011529704,0.796820626,0,263.3880615,0.074395874,-0.101619959,1.926619959,0,739.584717,547.736328,0.0038,0.004158
